Benchmark,Device,Device Name,MyEnum,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Batch GPU (sec),Batch,SomeInts
runtime_enum_sweep_string,0,Quadro GV100,A,No,499,0.0010101454729458924,0.00046483104049603716,0.001003841868144471,0.0005749097846815492,0.001001477914376195,523,
runtime_enum_sweep_string,0,Quadro GV100,B,No,499,0.001010159408817635,0.0004613137827456428,0.0010038492447866406,0.0005555267067795092,0.001001477914376195,523,
runtime_enum_sweep_string,0,Quadro GV100,C,No,499,0.0010101243687374746,0.0005092828188229102,0.001003840521246726,0.0005589757153765308,0.0010014759304418617,523,
runtime_enum_sweep_string,1,Quadro GP100,A,No,499,0.0010076531543086172,0.0004980799779298182,0.0010027744387815845,0.0003286485696207647,0.0010014733467393249,524,
runtime_enum_sweep_string,1,Quadro GP100,B,No,499,0.001007305567134269,0.0004149742922173277,0.0010026098881551395,0.0003090849629556725,0.0010014743950530773,524,
runtime_enum_sweep_string,1,Quadro GP100,C,No,499,0.0010073099939879758,0.00041034663323030794,0.001002610978000388,0.0003063685132670013,0.0010014735796979365,524,
runtime_enum_sweep_int64,0,Quadro GV100,0,No,499,0.0010101685511022043,0.00048173554195341087,0.001003846292266381,0.0005760736687258556,0.001001475909284053,524,
runtime_enum_sweep_int64,0,Quadro GV100,1,No,499,0.0010101069098196389,0.000452307701913514,0.0010036457628907521,0.0004970727279364392,0.0010014759304418617,523,
runtime_enum_sweep_int64,0,Quadro GV100,2,No,499,0.0010101263466933872,0.0004551387873866542,0.001003668336447824,0.0004936151206687181,0.0010014759304418617,523,
runtime_enum_sweep_int64,1,Quadro GP100,0,No,499,0.0010076479038076157,0.0005063884103258074,0.0010027646934818884,0.0003189744202423173,0.0010014735796979365,524,
runtime_enum_sweep_int64,1,Quadro GP100,1,No,499,0.0010073362545090188,0.0006783144138303011,0.001002585007575805,0.00032119540844936307,0.0010014733467393249,524,
runtime_enum_sweep_int64,1,Quadro GP100,2,No,499,0.0010073002645290582,0.0004221934097940968,0.0010025900736122663,0.00030148599118709333,0.0010014748609703007,524,
compile_time_enum_sweep,0,Quadro GV100,A,No,499,0.001010085394789578,0.0004655817990209206,0.001003753755278955,0.0005493729335684191,0.0010014759304418617,523,
compile_time_enum_sweep,0,Quadro GV100,B,No,499,0.001010053595190381,0.0005071877844696576,0.0010036782112293535,0.0005775279883320534,0.001001473929135854,524,
compile_time_enum_sweep,0,Quadro GV100,C,No,499,0.0010101191442885773,0.000491671020220968,0.001003674685835594,0.0005387103704343772,0.001001475909284053,524,
compile_time_enum_sweep,1,Quadro GP100,A,No,499,0.0010072828116232475,0.0004397728983271746,0.001002574038171099,0.0003125584355538476,0.0010014731137807133,524,
compile_time_enum_sweep,1,Quadro GP100,B,No,499,0.0010073154749498997,0.00040217119470421287,0.0010025884063544867,0.0002963185452948694,0.0010014750939289121,524,
compile_time_enum_sweep,1,Quadro GP100,C,No,499,0.0010073215450901796,0.00042671482068318837,0.0010026036672936165,0.000296913783133073,0.0010014753268875237,524,
compile_time_int_sweep,0,Quadro GV100,,No,499,0.0010101242705410818,0.00046763787302286317,0.0010036719920401053,0.0005214982620209435,0.001001477889432252,524,0
compile_time_int_sweep,0,Quadro GV100,,No,499,0.0010101197975951911,0.00047310755052367136,0.0010037048890260939,0.0005711753095722302,0.0010014759304418617,523,16
compile_time_int_sweep,0,Quadro GV100,,No,499,0.0010100482024048096,0.00048230228130997395,0.0010036862909435461,0.0005703633321237566,0.001001475909284053,524,4096
compile_time_int_sweep,0,Quadro GV100,,No,499,0.0010101047835671339,0.0004779495034261126,0.0010036583329011495,0.0004905372193961659,0.0010014759304418617,523,-12
compile_time_int_sweep,1,Quadro GP100,,No,499,0.0010073524008016035,0.00045954094220701026,0.001002591226765053,0.0003132035131857924,0.0010014731137807133,524,0
compile_time_int_sweep,1,Quadro GP100,,No,499,0.0010072802204408825,0.00041173035101990657,0.001002568971417949,0.00030006995446635803,0.0010014742785737715,524,16
compile_time_int_sweep,1,Quadro GP100,,No,499,0.0010072856112224454,0.00041573006780551387,0.0010025766641200192,0.0003017176216493314,0.0010014750939289121,524,4096
compile_time_int_sweep,1,Quadro GP100,,No,499,0.0010073294088176355,0.00042082782124641986,0.001002588534402943,0.0002955692521037092,0.0010014733467393249,524,-12
